2016-11-29 15:07:45:545 B,,3,8,"
$#",2,0,0,0,33,0,0,0,34,0,0,0,34,0,0,0,34,0,0,0,33,	 B,$#,2,15541,3103,3113,0,0,0,34,0,109,0,0,0,3,3108,3108,3107,3106,3105,3103,3103,3105,3104,3104,3111,3111,3111,3111,3110,3106,3107,3106,3109,3105,3112,3112,3113,3112,3112,3108,3108,3110,3110,3109,3111,3111,3111,3111,3110,3111,3112,3109,3112,3109,3108,3109,3108,3108,3108,3104,3105,3105,3104,"3107
",
2016-11-29 15:07:47:168 B,,3,5,"
$#",2,0,0,0,33,0,0,0,34,0,0,0,34,0,0,0,34,0,0,0,33,	 B,$#,2,15542,3103,3113,0,0,0,34,0,111,0,0,0,3,3108,3108,3108,3106,3105,3104,3103,3105,3103,3104,3111,3111,3112,3111,3111,3106,3107,3106,3109,3106,3112,3113,3112,3112,3112,3107,3109,3110,3111,3109,3110,3111,3111,3111,3111,3111,3112,3109,3112,3109,3109,3109,3109,3108,3108,3104,3105,3105,3104,"3107
",
2016-11-29 15:07:47:980 B,,3,6,"
$#",2,0,0,0,33,0,0,0,34,0,0,0,34,0,0,0,34,0,0,0,33,	 B,$#,2,15542,3103,3113,0,0,0,34,0,112,0,0,0,3,3108,3108,3107,3106,3105,3104,3103,3106,3104,3104,3111,3111,3112,3110,3110,3106,3106,3106,3109,3106,3112,3112,3113,3112,3112,3108,3108,3110,3110,3109,3111,3111,3111,3111,3111,3111,3112,3109,3112,3109,3108,3109,3109,3109,3108,3104,3106,3105,3105,"3107
",
2016-11-29 15:07:49:241 B,,3,7,"
$#",2,0,0,0,33,0,0,0,34,0,0,0,34,0,0,0,34,0,0,0,33,	 B,$#,2,15542,3103,3112,0,0,0,34,0,113,0,0,0,3,3108,3108,3108,3106,3104,3103,3104,3104,3104,3104,3111,3111,3112,3110,3110,3106,3107,3106,3109,3105,3112,3112,3112,3112,3112,3108,3108,3110,3110,3109,3111,3111,3111,3111,3111,3111,3112,3109,3112,3109,3108,3109,3108,3108,3108,3104,3105,3105,3105,"3107
",
2016-11-29 15:07:50:052 B,,3,8,"
$#",2,0,0,0,33,0,0,0,34,0,0,0,34,0,0,0,34,0,0,0,33,	 B,$#,2,15542,3103,3113,0,0,0,34,0,114,0,0,0,3,3108,3108,3108,3106,3105,3104,3103,3105,3104,3104,3111,3112,3112,3110,3110,3106,3107,3106,3109,3105,3112,3113,3112,3112,3112,3108,3108,3110,3110,3109,3110,3111,3111,3111,3111,3111,3112,3109,3112,3109,3109,3109,3109,3108,3108,3104,3106,3105,3105,"3107
",
2016-11-29 15:07:50:864 B,,3,6,"
",2,0,0,0,33,0,0,0,34,0,0,0,34,0,0,0,34,0,0,0,33,	 B,$#,2,15542,3103,3112,0,0,0,34,0,115,0,0,0,3,3108,3108,3107,3106,3104,3104,3103,3105,3104,3104,3111,3111,3112,3110,3110,3106,3107,3106,3109,3105,3112,3112,3112,3112,3111,3108,3108,3111,3110,3109,3110,3111,3111,3111,3110,3111,3112,3109,3112,3109,3109,3109,3109,3108,3109,3104,3105,3105,3105,"3107
",
2016-11-29 15:07:51:675 B,,3,9,"
$#",2,0,0,0,33,0,0,0,34,0,0,0,34,0,0,0,34,0,0,0,33,	 B,$#,2,10880,3103,3112,0,0,0,34,0,116,0,0,0,3,3108,3108,3107,3106,3105,3104,3103,3105,3104,3104,3111,3111,3112,3110,3110,3107,3107,3106,3109,3105,3112,3112,3112,3112,3112,3108,3108,3110,3110,3109,3111,3111,3111,3111,3110,3111,3112,3110,3112,3109,3109,3109,3109,3108,3109,3104,3105,3105,3105,"3107
",
2016-11-29 15:07:52:486 B,,3,8,"
$#",2,0,0,0,33,0,0,0,34,0,0,0,34,0,0,0,34,0,0,0,33,	 B,$#,2,15542,3103,3112,0,0,0,34,0,116,0,0,0,3,3108,3108,3107,3106,3105,3104,3103,3105,3104,3104,3111,3111,3112,3110,3110,3107,3107,3106,3109,3105,3112,3112,3112,3112,3112,3108,3108,3110,3110,3109,3111,3111,3111,3111,3110,3111,3112,3110,3112,3109,3108,3109,3109,3108,3108,3104,3106,3105,3104,"3107
",
2016-11-29 15:07:53:298 B,,3,7,"
$#",2,0,0,0,33,0,0,0,34,0,0,0,34,0,0,0,34,0,0,0,33,	 B,$#,2,15542,3103,3113,0,0,0,34,0,117,0,0,0,3,3108,3108,3108,3106,3105,3104,3103,3105,3104,3104,3111,3111,3112,3110,3110,3106,3107,3106,3109,3106,3112,3112,3113,3112,3112,3108,3109,3110,3111,3109,3110,3111,3111,3111,3111,3111,3112,3109,3112,3109,3108,3109,3109,3109,3109,3104,3105,3104,3105,"3107
",
2016-11-29 15:07:54:109 B,,3,7,"
$#",2,0,0,0,33,0,0,0,34,0,0,0,34,0,0,0,34,0,0,0,33,	 B,$#,2,15542,3103,3112,0,0,0,34,0,118,0,0,0,3,3108,3107,3107,3106,3104,3104,3103,3105,3104,3104,3111,3112,3112,3110,3110,3106,3107,3106,3109,3105,3112,3112,3112,3112,3112,3108,3109,3111,3110,3109,3110,3111,3111,3111,3111,3111,3112,3109,3112,3109,3109,3109,3108,3108,3108,3104,3105,3104,3104,"3107
",
