2016-11-29 14:02:36:254xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx B,$#,2,16684,3335,3338,0,0,0,28,0,90,0,0,0,3,3335,3337,3336,3337,3336,3338,3338,3337,3338,3337,3337,3337,3337,3337,3337,3338,3338,3338,3337,3338,3336,3336,3336,3336,3335,3335,3337,3337,3337,3337,3338,3338,3338,3335,3336,3337,3338,3338,3338,3337,3337,3338,3336,3337,3337,3338,3337,3337,3338,"3335
"
2016-11-29 14:02:37:072 B,,3,4095,"
T",$#,2,0,0,0,28,0,0,0,27,0,0,0,28,0,0,0,27,0,0,0,28,	 B,$#,2,16685,3335,3338,0,0,0,28,0,91,0,0,0,3,3335,3337,3336,3337,3336,3338,3337,3338,3338,3337,3337,3336,3338,3337,3337,3338,3338,3338,3336,3338,3336,3336,3336,3336,3336,3336,3338,3337,3338,3337,3338,3338,3338,3336,3336,3337,3338,3338,3338,3337,3337,3337,3336,3337,3336,3338,3337,3337,3338,"3335
"
2016-11-29 14:02:37:889 B,,3,4095,"
T",$#,2,0,0,0,28,0,0,0,28,0,0,0,28,0,0,0,27,0,0,0,28,	 B,$#,2,16685,3335,3338,0,0,0,28,0,92,0,0,0,3,3335,3336,3336,3337,3336,3338,3338,3338,3338,3337,3337,3337,3337,3336,3337,3338,3338,3337,3337,3338,3336,3336,3337,3336,3336,3335,3338,3337,3338,3337,3338,3338,3338,3336,3336,3337,3338,3338,3338,3338,3338,3338,3337,3338,3336,3338,3337,3337,3338,"3335
"
2016-11-29 14:02:38:707 B,,3,4095,"
T",$#,2,0,0,0,28,0,0,0,28,0,0,0,28,0,0,0,27,0,0,0,28,	 B,$#,2,16685,3335,3338,0,0,0,28,0,92,0,0,0,3,3335,3336,3336,3337,3336,3338,3338,3338,3338,3337,3337,3337,3337,3336,3337,3338,3338,3337,3337,3338,3336,3336,3337,3336,3336,3335,3338,3337,3338,3337,3338,3338,3338,3336,3336,3337,3338,3338,3338,3338,3338,3338,3337,3338,3336,3338,3337,3337,3338,"3335
"
2016-11-29 14:02:39:524 B,,3,4095,"
T",$#,2,0,0,0,28,0,0,0,28,0,0,0,28,0,0,0,27,0,0,0,28,	 B,$#,2,16684,3335,3338,0,0,0,28,0,93,0,0,0,3,3335,3336,3336,3337,3336,3338,3337,3337,3338,3337,3337,3337,3337,3336,3336,3338,3338,3338,3337,3337,3336,3336,3336,3336,3335,3335,3337,3338,3338,3337,3338,3338,3338,3336,3336,3337,3338,3338,3338,3338,3337,3338,3337,3337,3337,3338,3338,3337,3336,"3335
"
2016-11-29 14:02:40:342 B,,3,4095,"
T",$#,2,0,0,0,28,0,0,0,27,0,0,0,28,0,0,0,27,0,0,0,28,	 B,$#,2,16684,3335,3338,0,0,0,28,0,94,0,0,0,3,3335,3337,3336,3336,3336,3338,3337,3337,3337,3337,3337,3337,3337,3337,3337,3338,3338,3337,3337,3338,3336,3336,3336,3336,3335,3336,3337,3337,3338,3337,3337,3337,3338,3336,3336,3337,3337,3338,3338,3337,3337,3338,3337,3337,3336,3338,3337,3337,3337,"3335
"
2016-11-29 14:02:41:160 B,,3,4095,"
T",$#,2,0,0,0,28,0,0,0,28,0,0,0,28,0,0,0,27,0,0,0,28,	 B,$#,2,16684,3335,3339,0,0,0,28,0,95,0,0,0,3,3335,3336,3336,3337,3336,3339,3337,3338,3338,3337,3337,3337,3337,3336,3336,3338,3339,3337,3337,3337,3336,3336,3336,3336,3335,3335,3338,3337,3338,3337,3338,3337,3338,3336,3336,3336,3338,3338,3337,3338,3338,3338,3336,3337,3337,3337,3337,3337,3338,"3335
"
2016-11-29 14:02:41:977 B,,3,4095,"
T",$#,2,0,0,0,28,0,0,0,28,0,0,0,28,0,0,0,27,0,0,0,28,	 B,$#,2,16684,3334,3338,0,0,0,28,0,96,0,0,0,3,3334,3337,3336,3337,3336,3338,3338,3337,3337,3337,3337,3337,3337,3337,3336,3338,3338,3338,3337,3338,3337,3336,3337,3336,3335,3336,3338,3337,3338,3337,3338,3337,3338,3336,3336,3336,3338,3338,3337,3338,3338,3338,3337,3337,3336,3337,3337,3337,3337,"3335
"
2016-11-29 14:02:42:795 B,,3,4095,"
T",$#,2,0,0,0,28,0,0,0,28,0,0,0,28,0,0,0,27,0,0,0,28,	 B,$#,2,13347,3335,3339,0,0,0,28,0,97,0,0,0,3,3335,3337,3336,3337,3336,3338,3338,3337,3338,3337,3336,3337,3337,3336,3337,3338,3339,3338,3337,3337,3336,3336,3337,3336,3335,3335,3338,3337,3338,3337,3338,3338,3338,3336,3336,3336,3338,3338,3338,3337,3337,3338,3337,3337,3336,3337,3337,3337,3337,"3335
"
2016-11-29 14:02:43:612 B,,3,4095,"
T",$#,2,0,0,0,28,0,0,0,27,0,0,0,28,0,0,0,27,0,0,0,28,	 B,$#,2,16684,3335,3339,0,0,0,28,0,97,0,0,0,3,3335,3337,3336,3337,3336,3338,3338,3337,3338,3337,3336,3337,3337,3336,3337,3338,3339,3338,3337,3337,3336,3336,3337,3336,3335,3335,3338,3337,3338,3337,3338,3338,3338,3336,3336,3336,3338,3338,3338,3337,3337,3338,3337,3337,3336,3338,3337,3338,3337,"3335
"
2016-11-29 14:02:44:430 B,,3,4095,"
T",$#,2,0,0,0,28,0,0,0,27,0,0,0,28,0,0,0,27,0,0,0,28,	 B,$#,2,16684,3334,3338,0,0,0,28,0,98,0,0,0,3,3334,3337,3336,3337,3336,3338,3337,3338,3338,3337,3337,3337,3337,3337,3336,3338,3338,3338,3337,3338,3337,3336,3337,3336,3335,3336,3337,3337,3338,3337,3338,3338,3338,3336,3336,3337,3337,3338,3338,3337,3337,3338,3337,3336,3336,3337,3336,3337,3337,"3335
"
