2016-11-24 10:29:22:672T,$#0,0,29,28,29,28,26,26,26,29,26,26,29,29,26,26,29,0,26,0,	
2016-11-24 10:29:23:089T,$#0,0,0,27,0,0,0,28,0,0,0,28,0,0,0,28,0,0,0,27,	
2016-11-24 10:29:23:486T,$#0,0,29,29,29,28,26,26,26,29,26,26,29,29,26,26,29,0,26,0,	
2016-11-24 10:29:23:904T,$#0,0,0,27,0,0,0,28,0,0,0,28,0,0,0,28,0,0,0,27,	
2016-11-24 10:29:24:302T,$#0,0,29,29,29,28,26,26,26,29,26,26,29,29,26,26,29,0,26,0,	
2016-11-24 10:29:24 
2016-11-24 10:29:24:719T,$#0,0,0,27,0,0,0,28,0,0,0,28,0,0,0,28,0,0,0,27,	
2016-11-24 10:29:25:116T,$#0,0,29,29,29,28,26,26,26,29,26,26,29,29,26,26,29,0,26,0,	
2016-11-24 10:29:25:533T,$#0,0,0,28,0,0,0,28,0,0,0,28,0,0,0,28,0,0,0,27,	
2016-11-24 10:29:25:930T,$#0,0,29,29,29,28,26,26,26,29,26,26,29,29,26,26,29,0,26,0,	
2016-11-24 10:29:26:349T,$#0,0,0,27,0,0,0,28,0,0,0,28,0,0,0,28,0,0,0,27,	
2016-11-24 10:29:26 
2016-11-24 10:29:26:746T,$#0,0,29,29,29,28,26,26,26,29,26,26,29,29,26,26,29,0,26,0,	
2016-11-24 10:29:27:163T,$#0,0,0,27,0,0,0,28,0,0,0,28,0,0,0,28,0,0,0,27,	
2016-11-24 10:29:27:561T,$#0,0,29,28,29,28,26,26,26,29,26,26,29,29,26,26,29,0,26,0,	
2016-11-24 10:29:27:978T,$#0,0,0,27,0,0,0,28,0,0,0,28,0,0,0,28,0,0,0,27,	
2016-11-24 10:29:28:375T,$#0,0,29,29,29,28,26,26,26,29,26,26,29,29,26,26,29,0,26,0,	
2016-11-24 10:29:28 
2016-11-24 10:29:28:795T,$#0,0,0,27,0,0,0,28,0,0,0,28,0,0,0,28,0,0,0,27,	
2016-11-24 10:29:29:193T,$#0,0,29,29,29,28,26,26,26,29,26,26,29,29,26,26,29,0,26,0,	
2016-11-24 10:29:29:609T,$#0,0,0,27,0,0,0,28,0,0,0,28,0,0,0,28,0,0,0,27,	
2016-11-24 10:29:30:007T,$#0,0,29,29,29,28,26,26,26,29,26,26,29,29,26,26,29,0,26,0,	
2016-11-24 10:29:30:422T,$#0,0,0,27,0,0,0,28,0,0,0,28,0,0,0,28,0,0,0,27,	
2016-11-24 10:29:30 
2016-11-24 10:29:30:819T,$#0,0,29,29,29,28,26,26,26,29,26,26,29,29,26,26,29,0,26,0,	
2016-11-24 10:29:31:237T,$#0,0,0,27,0,0,0,28,0,0,0,28,0,0,0,28,0,0,0,27,	
2016-11-24 10:29:31:634T,$#0,0,29,29,29,28,26,26,26,29,26,26,29,29,26,26,29,0,26,0,	
2016-11-24 10:29:32:053T,$#0,0,0,27,0,0,0,28,0,0,0,28,0,0,0,28,0,0,0,27,	
2016-11-24 10:29:32:452T,$#0,0,29,29,29,28,26,26,26,29,26,26,29,29,26,26,29,0,26,0,	
2016-11-24 10:29:32 
2016-11-24 10:29:32:868T,$#0,0,0,27,0,0,0,28,0,0,0,28,0,0,0,28,0,0,0,27,	
2016-11-24 10:29:33:267T,$#0,0,29,29,29,28,26,26,26,29,26,26,29,29,26,26,29,0,26,0,	
2016-11-24 10:29:33:684T,$#0,0,0,27,0,0,0,28,0,0,0,28,0,0,0,28,0,0,0,27,	
2016-11-24 10:29:34:082T,$#0,0,29,29,29,28,26,26,26,29,26,26,29,29,26,26,29,0,26,0,	
2016-11-24 10:29:34:498T,$#0,0,0,27,0,0,0,28,0,0,0,28,0,0,0,28,0,0,0,27,	
2016-11-24 10:29:34 
2016-11-24 10:29:34:896T,$#0,0,29,29,29,28,26,26,26,29,26,26,29,29,26,26,29,0,26,0,	
2016-11-24 10:29:35:313T,$#0,0,0,27,0,0,0,28,0,0,0,28,0,0,0,28,0,0,0,27,	
2016-11-24 10:29:35:710T,$#0,0,29,29,29,28,26,26,26,29,26,26,29,29,26,26,29,0,26,0,	
2016-11-24 10:29:36:126T,$#0,0,0,27,0,0,0,28,0,0,0,28,0,0,0,28,0,0,0,27,	
2016-11-24 10:29:36:523T,$#0,0,29,29,29,28,26,26,26,29,26,26,29,29,26,26,29,0,26,0,	
2016-11-24 10:29:36 
2016-11-24 10:29:36:941T,$#0,0,0,27,0,0,0,28,0,0,0,28,0,0,0,28,0,0,0,27,	
2016-11-24 10:29:37:338T,$#0,0,29,29,29,28,26,26,26,29,26,26,29,29,26,26,29,0,26,0,	
2016-11-24 10:29:37:755T,$#0,0,0,27,0,0,0,28,0,0,0,28,0,0,0,28,0,0,0,27,	
2016-11-24 10:29:38:156T,$#0,0,29,29,29,28,26,26,26,29,26,26,29,29,26,26,29,0,26,0,	
2016-11-24 10:29:38:570T,$#0,0,0,27,0,0,0,28,0,0,0,28,0,0,0,28,0,0,0,27,	
2016-11-24 10:29:38 
2016-11-24 10:29:38:968T,$#0,0,29,28,29,28,26,26,26,29,26,26,29,29,26,26,29,0,26,0,	
2016-11-24 10:29:39:385T,$#0,0,0,27,0,0,0,28,0,0,0,28,0,0,0,28,0,0,0,27,	
2016-11-24 10:29:39:783T,$#0,0,29,29,29,28,26,26,26,29,26,26,29,29,26,26,29,0,26,0,	
2016-11-24 10:29:40:200T,$#0,0,0,28,0,0,0,28,0,0,0,28,0,0,0,28,0,0,0,27,	
2016-11-24 10:29:40:597T,$#0,0,29,29,29,28,26,26,26,29,26,26,29,29,26,26,29,0,26,0,	
2016-11-24 10:29:41:014T,$#0,0,0,28,0,0,0,28,0,0,0,28,0,0,0,28,0,0,0,27,	
2016-11-24 10:29:41:411T,$#0,0,29,29,29,28,26,26,26,29,26,26,29,29,26,26,29,0,26,0,	
2016-11-24 10:29:41:828T,$#0,0,0,27,0,0,0,28,0,0,0,28,0,0,0,28,0,0,0,27,	
2016-11-24 10:29:42:227T,$#0,0,29,28,29,28,26,26,26,29,26,26,29,29,26,26,29,0,26,0,	
2016-11-24 10:29:42:644T,$#0,0,0,27,0,0,0,28,0,0,0,28,0,0,0,28,0,0,0,27,	
2016-11-24 10:29:43:042T,$#0,0,29,28,29,28,26,26,26,29,26,26,29,29,26,26,29,0,26,0,	
2016-11-24 10:29:43:457T,$#0,0,0,27,0,0,0,28,0,0,0,28,0,0,0,28,0,0,0,27,	
2016-11-24 10:29:43:854T,$#0,0,29,29,29,28,26,26,26,29,26,26,29,29,26,26,29,0,26,0,	
2016-11-24 10:29:44:272T,$#0,0,0,27,0,0,0,28,0,0,0,28,0,0,0,28,0,0,0,27,	
2016-11-24 10:29:44 
2016-11-24 10:29:44:669T,$#0,0,29,29,29,28,26,26,26,29,26,26,29,29,26,26,29,0,26,0,	
2016-11-24 10:29:45:086T,$#0,0,0,27,0,0,0,28,0,0,0,28,0,0,0,28,0,0,0,27,	
2016-11-24 10:29:45:483T,$#0,0,29,29,29,28,26,26,26,29,26,26,29,29,26,26,29,0,26,0,	
2016-11-24 10:29:45:901T,$#0,0,0,27,0,0,0,28,0,0,0,28,0,0,0,28,0,0,0,27,	
2016-11-24 10:29:46:298T,$#0,0,29,29,29,28,26,26,26,29,26,26,29,29,26,26,29,0,26,0,	
2016-11-24 10:29:46 
2016-11-24 10:29:46:716T,$#0,0,0,27,0,0,0,28,0,0,0,28,0,0,0,28,0,0,0,27,	
2016-11-24 10:29:47:114T,$#0,0,29,29,29,28,26,26,26,29,26,26,29,29,26,26,29,0,26,0,	
2016-11-24 10:29:48 
2016-11-24 10:29:49:634T,$#0,0,0,27,0,0,0,28,0,0,0,28,0,0,0,28,0,0,0,27,	
2016-11-24 10:29:50:032T,$#0,0,29,29,29,28,26,26,26,29,26,26,29,29,26,26,29,0,26,0,	
2016-11-24 10:29:50:449T,$#0,0,0,27,0,0,0,28,0,0,0,28,0,0,0,28,0,0,0,27,	
2016-11-24 10:29:50 
2016-11-24 10:29:50:847T,$#0,0,29,29,29,28,26,26,26,29,26,26,29,29,26,26,29,0,26,0,	
2016-11-24 10:29:51:264T,$#0,0,0,27,0,0,0,28,0,0,0,28,0,0,0,28,0,0,0,27,	
