2016-11-29 14:03:23:024 B,,3,8,"
T",$#,2,0,0,0,28,0,0,0,27,0,0,0,27,0,0,0,27,0,0,0,28,	 B,$#,2,16684,3334,3338,0,0,0,28,0,137,0,0,0,3,3334,3337,3336,3336,3336,3338,3338,3337,3338,3337,3337,3337,3337,3337,3336,3338,3338,3338,3336,3338,3336,3336,3336,3336,3335,3335,3337,3337,3338,3337,3337,3338,3338,3336,3336,3336,3338,3338,3338,3338,3337,3338,3337,3337,3336,3337,3336,3337,3337,"3335
"
2016-11-29 14:03:23:836 B,,3,8,"
T",$#,2,0,0,0,28,0,0,0,27,0,0,0,27,0,0,0,27,0,0,0,28,	 B,$#,2,16684,3334,3338,0,0,0,28,0,138,0,0,0,3,3334,3337,3336,3337,3336,3338,3337,3338,3338,3337,3337,3337,3337,3336,3336,3338,3338,3337,3337,3338,3336,3336,3337,3336,3336,3335,3338,3337,3338,3337,3338,3338,3338,3336,3336,3336,3338,3338,3338,3337,3337,3338,3337,3337,3336,3337,3337,3337,3337,"3336
"
2016-11-29 14:03:24:647 B,,3,8,"
T",$#,2,0,0,0,28,0,0,0,27,0,0,0,27,0,0,0,27,0,0,0,28,	 B,$#,2,8342,3334,3339,0,0,0,28,0,139,0,0,0,3,3334,3337,3336,3337,3336,3339,3338,3338,3338,3337,3337,3337,3337,3336,3337,3338,3338,3338,3337,3337,3336,3336,3337,3336,3335,10530,3362,3337,3338,3337,3338,3338,3338,3336,3336,3336,3338,3338,3338,3337,3337,3338,3337,3337,3336,3337,3337,3337,3337,"3336
"
2016-11-29 14:03:25:458 B,,3,7,"
T",$#,2,0,0,0,28,0,0,0,27,0,0,0,28,0,0,0,27,0,0,0,28,	 B,$#,2,16684,3334,3339,0,0,0,28,0,139,0,0,0,3,3334,3337,3336,3337,3336,3339,3338,3338,3338,3337,3337,3337,3337,3336,3337,3338,3338,3338,3337,3337,3336,3336,3337,3336,3335,3336,3337,3337,3338,3337,3338,3338,3337,3336,3336,3336,3338,3338,3337,3337,3338,3338,3336,3337,3337,3338,3337,3337,3337,"3335
"
2016-11-29 14:03:26:269 B,,3,3,"
T",,2,0,0,0,28,0,0,0,27,0,0,0,28,0,0,0,27,0,0,0,28,	 B,$#,2,16685,3334,3339,0,0,0,28,0,140,0,0,0,3,3334,3337,3336,3337,3336,3338,3338,3338,3338,3338,3337,3337,3337,3337,3336,3338,3339,3338,3336,3337,3336,3336,3336,3336,3336,3335,3337,3337,3338,3337,3338,3338,3338,3336,3336,3336,3338,3338,3338,3338,3338,3337,3337,3337,3336,3338,3337,3337,3337,"3336
"
2016-11-29 14:03:27:080 B,,3,8,"
T",$#,2,0,0,0,28,0,0,0,27,0,0,0,28,0,0,0,27,0,0,0,28,	 B,$#,2,16684,3335,3339,0,0,0,28,0,141,0,0,0,3,3335,3337,3336,3336,3336,3338,3338,3337,3337,3337,3337,3337,3337,3336,3336,3338,3339,3337,3336,3337,3336,3336,3337,3336,3336,3336,3338,3337,3338,3337,3338,3338,3338,3336,3335,3336,3338,3338,3338,3338,3337,3338,3337,3337,3336,3338,3337,3337,3337,"3335
"
2016-11-29 14:03:27:892 B,,3,8,"
T",$#,2,0,0,0,28,0,0,0,27,0,0,0,28,0,0,0,27,0,0,0,28,	 B,$#,2,16685,3335,3339,0,0,0,28,0,142,0,0,0,3,3335,3337,3336,3337,3337,3339,3338,3338,3338,3337,3337,3337,3337,3337,3336,3339,3339,3337,3337,3338,3336,3336,3336,3336,3335,3335,3338,3337,3338,3337,3338,3338,3338,3336,3336,3337,3338,3338,3338,3337,3338,3338,3337,3336,3337,3338,3337,3337,3337,"3335
"
2016-11-29 14:03:28:703 B,,3,5,"
T",$#,2,0,0,0,28,0,0,0,27,0,0,0,27,0,0,0,27,0,0,0,28,	 B,$#,2,16684,3334,3339,0,0,0,28,0,143,0,0,0,3,3334,3336,3336,3336,3336,3338,3338,3338,3338,3337,3337,3337,3337,3336,3336,3338,3339,3338,3336,3338,3336,3336,3336,3336,3335,3335,3337,3337,3338,3337,3338,3338,3338,3336,3336,3336,3338,3338,3338,3337,3337,3337,3337,3337,3336,3338,3336,3337,3337,"3335
"
2016-11-29 14:03:29:515 B,,3,7,"
T",$#,2,0,0,0,28,0,0,0,27,0,0,0,27,0,0,0,27,0,0,0,28,	 B,$#,2,16684,3334,3339,0,0,0,28,0,143,0,0,0,3,3334,3336,3336,3336,3336,3338,3338,3338,3338,3337,3337,3337,3337,3336,3336,3338,3339,3338,3336,3338,3336,3336,3336,3336,3335,3335,3337,3337,3338,3337,3338,3338,3338,3336,3336,3336,3338,3338,3338,3337,3337,3337,3337,3337,3336,3338,3336,3337,3337,"3335
"
2016-11-29 14:03:30:326 B,,3,7,"
T",$#,2,0,0,0,28,0,0,0,27,0,0,0,27,0,0,0,27,0,0,0,28,	 B,$#,2,16685,3334,3338,0,0,0,28,0,144,0,0,0,3,3334,3337,3336,3336,3336,3338,3338,3338,3338,3337,3337,3337,3338,3336,3336,3338,3338,3338,3337,3338,3336,3336,3337,3336,3336,3335,3338,3337,3338,3337,3338,3338,3337,3336,3336,3337,3338,3338,3338,3338,3337,3338,3337,3337,3337,3338,3337,3337,3337,"3336
"
