2016-11-29 15:01:06:382xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx B,,2,15532,3101,3111,0,0,0,34,0,9,0,0,0,3,3106,3105,3105,3104,3103,3101,3101,3103,3101,3103,3108,3110,3109,3109,3108,3104,3104,3104,3107,3103,3111,3111,3111,3111,3110,3106,3106,3108,3109,3107,3108,3109,3109,3109,3109,3109,3110,3107,3110,3107,3107,3108,3107,3106,3106,3103,3103,3103,3102,"3105
"
2016-11-29 15:01:16:121 B,,3,5,"
$#",2,0,0,0,33,0,0,0,34,0,0,0,34,0,0,0,34,0,0,0,34,	 B,$#,2,15533,3101,3111,0,0,0,34,0,19,0,0,0,3,3106,3106,3105,3103,3103,3102,3101,3103,3102,3102,3109,3109,3110,3109,3108,3104,3105,3104,3107,3103,3110,3111,3111,3111,3110,3106,3107,3109,3109,3107,3109,3109,3109,3109,3109,3109,3110,3107,3110,3108,3107,3107,3106,3106,3106,3102,3104,3103,3103,"3105
"
2016-11-29 15:01:16:932 B,,3,5,"
$#",2,0,0,0,33,0,0,0,34,0,0,0,34,0,0,0,34,0,0,0,34,	 B,$#,2,15532,3101,3111,0,0,0,34,0,20,0,0,0,3,3106,3106,3105,3104,3102,3101,3101,3103,3102,3102,3109,3109,3110,3109,3108,3104,3105,3104,3108,3103,3111,3111,3111,3111,3110,3106,3107,3109,3109,3107,3108,3109,3109,3109,3109,3108,3110,3107,3110,3107,3106,3107,3107,3107,3106,3102,3103,3103,3102,"3105
"
2016-11-29 15:01:17:741 B,,3,6,"
$#",2,0,0,0,33,0,0,0,34,0,0,0,34,0,0,0,34,0,0,0,34,	 B,$#,2,1552,3101,3106,0,0,0,0,0,21,0,0,0,3,3106,3106,3106,3104,3103,3102,3101,3103,3102,3103,3109,3109,3110,3109,3108,3104,3105,3104,3108,3103,3111,3111,3111,3111,3110,3106,3107,3109,3109,3107,3108,3109,3109,3109,3109,3108,3110,3107,3110,3107,3106,3107,3107,3107,3106,3102,3103,3103,3102,"3105
"
2016-11-29 15:01:18:553 B,,3,8,"
$#",2,0,0,0,33,0,0,0,34,0,0,0,34,0,0,0,34,0,0,0,34,	 B,$#,2,15533,3101,3111,0,0,0,34,0,21,0,0,0,3,3106,3106,3106,3104,3103,3102,3101,3103,3102,3103,3109,3109,3110,3108,3108,3104,3105,3104,3108,3104,3111,3111,3111,3111,3110,3106,3107,3108,3108,3107,3108,3109,3109,3110,3109,3109,3110,3108,3110,3107,3106,3108,3106,3106,3106,3103,3103,3103,3103,"3105
"
2016-11-29 15:01:19:364 B,,3,6,"
$#",2,0,0,0,33,0,0,0,34,0,0,0,34,0,0,0,34,0,0,0,34,	 B,$#,2,15533,3101,3111,0,0,0,34,0,22,0,0,0,3,3106,3106,3105,3104,3103,3102,3101,3103,3102,3103,3109,3109,3110,3108,3108,3105,3104,3104,3107,3103,3110,3111,3111,3111,3110,3106,3107,3108,3109,3107,3108,3109,3109,3109,3109,3109,3110,3107,3111,3108,3107,3107,3107,3106,3106,3103,3103,3103,3103,"3105
"
2016-11-29 15:01:20:175 B,,3,8,"
$#",2,0,0,0,33,0,0,0,34,0,0,0,34,0,0,0,34,0,0,0,34,	 B,$#,2,15533,3101,3111,0,0,0,34,0,23,0,0,0,3,3106,3106,3105,3104,3103,3102,3101,3103,3103,3102,3109,3110,3110,3108,3109,3104,3105,3104,3108,3103,3110,3111,3111,3111,3109,3106,3107,3108,3108,3107,3109,3109,3109,3109,3109,3109,3110,3107,3110,3107,3107,3107,3107,3107,3107,3103,3103,3103,3103,"3105
"
2016-11-29 15:01:20:987 B,,3,6,"
$#",2,0,0,0,33,0,0,0,34,0,0,0,34,0,0,0,34,0,0,0,34,	 B,$#,2,15532,3101,3111,0,0,0,34,0,24,0,0,0,3,3106,3106,3105,3104,3103,3102,3101,3103,3102,3102,3109,3109,3110,3108,3109,3104,3104,3104,3108,3103,3111,3110,3111,3111,3110,3106,3106,3108,3108,3108,3109,3109,3109,3109,3109,3109,3109,3107,3110,3108,3106,3107,3107,3106,3107,3103,3103,3103,3103,"3105
"
2016-11-29 15:01:21:798 B,,3,9,"
$#",2,0,0,0,33,0,0,0,34,0,0,0,34,0,0,0,34,0,0,0,34,	 B,$#,2,12428,3101,3111,0,0,0,34,0,25,0,0,0,3,3106,3106,3106,3104,3103,3102,3101,3103,3102,3102,3109,3110,3110,3109,3108,3104,3105,3104,3108,3103,3111,3111,3111,3110,3110,3106,3107,3108,3108,3107,3109,3109,3109,3109,3109,3109,3110,3107,3110,3107,3106,3107,3107,3106,3107,3103,3103,3103,3103,"3105
"
2016-11-29 15:01:22:609 B,,3,9,"
$#",2,0,0,0,33,0,0,0,34,0,0,0,34,0,0,0,34,0,0,0,34,	 B,$#,2,15533,3101,3111,0,0,0,34,0,25,0,0,0,3,3106,3106,3106,3104,3103,3102,3101,3103,3102,3102,3109,3110,3110,3109,3108,3104,3105,3104,3108,3103,3111,3111,3111,3110,3110,3106,3107,3108,3108,3107,3109,3109,3109,3109,3109,3109,3110,3107,3110,3107,3107,3107,3106,3106,3106,3103,3103,3103,3103,"3105
"
2016-11-29 15:01:23:421 B,,3,4,"
$#",2,0,0,0,33,0,0,0,34,0,0,0,34,0,0,0,34,0,0,0,34,	 B,$#,2,15533,3101,3111,0,0,0,34,0,26,0,0,0,3,3106,3105,3106,3104,3103,3102,3101,3103,3102,3103,3109,3109,3110,3108,3108,3104,3104,3104,3107,3104,3110,3111,3111,3111,3110,3106,3107,3109,3109,3107,3108,3109,3109,3109,3109,3109,3110,3107,3110,3108,3107,3107,3107,3107,3107,3103,3103,3103,3103,"3105
"
