2016-11-24 16:22:05:222B,$#,2,16680,3310,3340,0,30,0,29,0,13,0,0,0,0,3338,3336,3336,3336,3336,3336,3335,3338,3310,3338,3336,3336,3337,3338,3340,3339,3337,3338,3337,3336,3336,3335,3335,3336,3336,3338,3336,3337,3337,3336,3336,3337,3336,3337,3339,3338,3337,3337,3337,3336,3336,3336,3336,3335,3336,3336,3337,3337,3336,"3337
"
2016-11-24 16:22:06:030B,$#,2,16680,3310,3340,0,30,0,29,0,13,0,0,0,0,3338,3336,3336,3336,3336,3336,3335,3338,3310,3338,3336,3336,3337,3338,3340,3339,3337,3338,3337,3336,3336,3335,3335,3336,3336,3338,3336,3337,3337,3336,3336,3337,3336,3337,3339,3338,3337,3337,3337,3336,3336,3336,3336,3335,3336,3336,3337,3337,3336,"3337
"
2016-11-24 16:22:06:838B,$#,2,16681,3309,3341,0,30,0,29,0,14,0,0,0,0,3338,3336,3336,3337,3337,3336,3338,3338,3309,3338,3336,3337,3338,3341,3339,3338,3337,3338,3337,3335,3336,3336,3336,3336,3337,3337,3336,3336,3336,3336,3336,3336,3336,3337,3337,3337,3337,3337,3337,3336,3336,3336,3336,3336,3336,3336,3337,3336,3336,"3338
"
2016-11-24 16:22:07:647B,$#,2,16680,3308,3341,0,30,0,29,0,15,0,0,0,0,3338,3336,3337,3336,3337,3336,3336,3331,3308,3341,3336,3337,3338,3338,3340,3338,3338,3338,3337,3336,3335,3336,3336,3334,3339,3337,3336,3337,3337,3336,3336,3336,3336,3337,3336,3337,3337,3337,3338,3337,3336,3336,3337,3337,3336,3337,3337,3337,3336,"3338
"
2016-11-24 16:22:08:456B,$#,2,16680,3307,3344,0,30,0,29,0,16,0,0,0,0,3338,3336,3335,3337,3337,3336,3335,3343,3307,3337,3344,3337,3336,3337,3339,3339,3337,3338,3337,3336,3335,3336,3336,3335,3336,3337,3336,3336,3337,3336,3336,3336,3337,3337,3336,3338,3337,3337,3338,3337,3336,3336,3336,3336,3336,3337,3337,3336,3336,"3327
"
2016-11-24 16:22:09:264B,$#,2,16680,3308,3339,0,30,0,29,0,17,0,0,0,0,3338,3337,3336,3337,3337,3336,3339,3338,3308,3334,3336,3336,3338,3337,3338,3339,3338,3338,3337,3336,3335,3335,3336,3335,3335,3337,3337,3337,3337,3336,3336,3336,3337,3337,3337,3337,3338,3337,3337,3337,3336,3336,3336,3335,3336,3336,3337,3337,3336,"3337
"
2016-11-24 16:22:10:070B,$#,2,1668,3307,3338,0,0,0,0,0,18,0,0,0,0,3338,3336,3337,3337,3337,3336,3337,3338,3307,3335,3336,3336,3338,3337,3338,3339,3338,3338,3337,3336,3335,3335,3336,3335,3335,3337,3337,3337,3337,3336,3336,3336,3337,3337,3337,3337,3338,3337,3337,3337,3336,3336,3336,3335,3336,3336,3337,3337,3336,"3337
"
2016-11-24 16:22:10:882B,$#,2,16678,3307,3340,0,30,0,29,0,18,0,0,0,0,3338,3336,3337,3337,3337,3336,3337,3338,3307,3335,3336,3338,3338,3338,3340,3311,3337,3338,3337,3336,3336,3335,3336,3335,3336,3338,3337,3337,3336,3336,3336,3336,3337,3337,3336,3338,3338,3338,3337,3337,3336,3336,3337,3336,3336,3336,3337,3337,3336,"3338
"
2016-11-24 16:22:11:688B,$#,2,16681,3307,3342,0,30,0,29,0,19,0,0,0,0,3337,3336,3337,3336,3337,3339,3335,3339,3307,3338,3342,3337,3338,3338,3339,3339,3337,3338,3337,3336,3336,3336,3335,3333,3336,3337,3337,3337,3336,3336,3336,3337,3337,3337,3336,3338,3338,3337,3337,3337,3335,3336,3336,3336,3335,3336,3338,3337,3336,"3337
"
2016-11-24 16:22:12:497B,$#,2,16680,3308,3341,0,30,0,29,0,20,0,0,0,0,3338,3336,3339,3336,3337,3335,3335,3326,3308,3341,3337,3337,3338,3338,3339,3339,3337,3338,3337,3336,3336,3335,3336,3335,3336,3337,3336,3337,3337,3336,3336,3336,3336,3337,3339,3337,3337,3337,3338,3337,3336,3336,3337,3336,3336,3337,3337,3336,3335,"3337
"
