"2016-11-28 15:44:23ID: C1  Data: 3C 40 25 27 1D 1C 00 00 
"
"2016-11-28 15:44:24ID: C1  Data: 3C 00 05 00 00 00 00 1C 
"
"2016-11-28 15:44:24ID: C1  Data: 3C 40 2D 2C 18 1D 00 00 
"
"2016-11-28 15:44:24ID: C1  Data: 3C 00 05 00 00 00 00 21 
"
"2016-11-28 15:44:24ID: C1  Data: 3C 40 2A 25 1D 1D 00 00 
"
"2016-11-28 15:44:24ID: C1  Data: 3C 00 05 00 00 00 00 24 
"
"2016-11-28 15:44:24ID: C1  Data: 3C 40 2A 26 1E 1D 00 00 
"
"2016-11-28 15:44:24ID: C1  Data: 3C 00 05 00 00 00 00 25 
"
"2016-11-28 15:44:24ID: C1  Data: 3C 40 25 27 1E 1E 00 00 
"
"2016-11-28 15:44:24ID: C1  Data: 3C 00 05 00 00 00 00 1B 
"
"2016-11-28 15:44:24ID: C1  Data: 3C 40 29 2B 18 1D 00 00 
"
"2016-11-28 15:44:25ID: C1  Data: 3C 00 05 00 00 00 00 1F 
"
"2016-11-28 15:44:25ID: C1  Data: 3C 40 27 29 21 1D 00 00 
"
