"2016-11-28 11:15:28ID: C1  Data: BC 00 05 00 00 00 00 2A 
"
"2016-11-28 11:15:29ID: C1  Data: BC 40 25 25 18 1D 00 00 
"
"2016-11-28 11:15:29ID: C1  Data: BC 00 05 00 00 00 00 29 
"
"2016-11-28 11:15:29ID: C1  Data: BC 40 24 24 1B 1C 00 00 
"
"2016-11-28 11:15:29ID: C1  Data: BC 00 05 00 00 00 00 29 
"
"2016-11-28 11:15:29ID: C1  Data: BC 40 27 28 1B 1D 00 00 
"
"2016-11-28 11:15:29ID: C1  Data: BC 00 05 00 00 00 00 29 
"
"2016-11-28 11:15:29ID: C1  Data: BC 40 24 27 18 1D 00 00 
"
"2016-11-28 11:15:29ID: C1  Data: BC 00 05 00 00 00 00 29 
"
"2016-11-28 11:15:29ID: C1  Data: BC 40 28 25 18 1D 00 00 
"
"2016-11-28 11:15:29ID: C1  Data: BC 00 05 00 00 00 00 29 
"
"2016-11-28 11:15:30ID: C1  Data: BC 40 28 23 1C 1D 00 00 
"
"2016-11-28 11:15:30ID: C1  Data: BC 00 05 00 00 00 00 28 
"
"2016-11-28 11:15:30ID: C1  Data: BC 40 23 28 1F 1C 00 00 
"
