"2016-11-28 09:45:0900 01 
"
"2016-11-28 09:45:09ID: BB  Data: 00 00 00 AA 00 00 00 00 
"
"2016-11-28 09:45:09ID: BC  Data: 00 00 00 AA 00 00 00 00 
"
"2016-11-28 09:45:09ID: BB  Data: 00 00 00 AA 00 00 00 00 
"
