"2016-11-30 09:44:420 2B 
"
"2016-11-30 09:44:42I: C2  Data: BC 04 05 00 00 00 0 2B 
"
"2016-11-30 09:44:42I: C1  Data: BC 44 2B 2B 1B 1B 0 00 
"
"2016-11-30 09:44:42ID:C2  Data: BC 44 2B 2A 18 1B 0 00 
"
"2016-11-30 09:44:42ID: 1  Data: BC 84 00 00 00 00 00 0 
"
"2016-11-30 09:44:42D: C2  Data: BC 84 00 00 00 00 0 00 
"
"2016-11-30 09:44:42D: C1  Data: BC 04 05 00 00 00 002B 
"
"2016-11-30 09:44:42D: C2  Data: BC 04 05 00 00 00 0 2B 
"
"2016-11-30 09:44:42I: C1  Data: BC 44 2B 2B 18 1B 0 00 
"
"2016-11-30 09:44:43D: C2  Data: BC 44 2B 2A 18 1A 00 0 
"
"2016-11-30 09:44:43ID: C  Data: BC 84 00 00 00 00 0000 
"
"2016-11-30 09:44:43I: C2  Data: BC 84 00 00 00 00 00 0 
"
"2016-11-30 09:44:43ID:C1  Data: BC 04 05 00 00 00 0 2B 
"
"2016-11-30 09:44:43D: C2  Data: BC 04 05 00 00 00 00 B 
"
"2016-11-30 09:44:43ID: 1  Data: BC 44 2B 2B 20 1B 0 00 
"
"2016-11-30 09:44:43ID C2  Data: BC 44 2B 2A 18 1B 00 00
"
"2016-11-30 09:44:43ID: C  Data: BC 84 00 00 00 00 0 00 
"
"2016-11-30 09:44:43ID:C2  Data: BC 84 00 00 00 00 00 0 
"
"2016-11-30 09:44:43ID: 1  Data: BC 04 05 00 00 00 002B 
"
"2016-11-30 09:44:43D: C2  Data: BC 04 05 00 00 00 00 B 
"
"2016-11-30 09:44:43ID C1  Data: BC 44 2B 2B 1C 1C 0 00 
"
"2016-11-30 09:44:43ID:C2  Data: BC 44 2B 2A 18 1B 00 0 
"
"2016-11-30 09:44:43ID C1  Data: BC 84 00 00 00 00 0 00 
"
"2016-11-30 09:44:43I: C2  Data: BC 84 00 00 00 00 00 0 
"
"2016-11-30 09:44:43I: C1  Data: BC 04 05 00 00 00 0 2B 
"
"2016-11-30 09:44:43I: C2  Data: BC 04 05 00 00 00 00 B 
"
"2016-11-30 09:44:43D: C1  Data: BC 44 2B 2B 18 1C 00 0 
"
"2016-11-30 09:44:43ID: 2  Data: BC 44 2B 2A 18 1C 0 00 
"
"2016-11-30 09:44:43I: C1  Data: BC 84 00 00 00 00 00 0 
"
"2016-11-30 09:44:44I: C2  Data: BC 84 00 00 00 00 0 00 
"
"2016-11-30 09:44:44I: C1  Data: BC 04 05 00 00 00 00 2B 
"
"2016-11-30 09:44:44ID: C2  Data: BC 04 05 00 00 00 00 2B 
"
"2016-11-30 09:44:44ID: C1  Data: BC 44 2B 2B 1D 1D 00 00 
"
"2016-11-30 09:44:44ID: C2  Data: BC 44 2B 2A 18 1B 00 00 
"
"2016-11-30 09:44:44ID: C1  Data: BC 84 00 00 00 00 00 00 
"
"2016-11-30 09:44:44ID: C2  Data: BC 84 00 00 00 00 00 00 
"
"2016-11-30 09:44:44ID: C1  Data: BC 04 05 00 00 00 00 2B 
"
"2016-11-30 09:44:44ID: C2  Data: BC 04 05 00 00 00 00 2B 
"
"2016-11-30 09:44:44ID: C1  Data: BC 44 2B 2B 18 1B 00 00 
"
"2016-11-30 09:44:44ID: C2  Data: BC 44 2B 2A 1B 1C 00 00 
"
"2016-11-30 09:44:44ID: C1  Data: BC 84 00 00 00 00 00 00 
"
"2016-11-30 09:44:44ID: C2  Data: BC 84 00 00 00 00 00 00 
"
"2016-11-30 09:44:44ID: C1  Data: BC 04 05 00 00 00 00 2B 
"
"2016-11-30 09:44:44ID: C2  Data: BC 04 05 00 00 00 00 2B 
"
"2016-11-30 09:44:44ID: C1  Data: BC 44 2B 2B 18 1B 00 00 
"
"2016-11-30 09:44:44ID: C2  Data: BC 44 2B 2A 18 1B 00 00 
"
"2016-11-30 09:44:44ID: C1  Data: BC 84 00 00 00 00 00 00 
"
"2016-11-30 09:44:44ID: C2  Data: BC 84 00 00 00 00 00 00 
"
"2016-11-30 09:44:44ID: C1  Data: BC 04 05 00 00 00 00 2B 
"
"2016-11-30 09:44:45ID: C2  Data: BC 04 05 00 00 00 00 2B 
"
"2016-11-30 09:44:45ID: C1  Data: BC 44 2B 2B 22 1B 00 00 
"
"2016-11-30 09:44:45ID: C2  Data: BC 44 2B 2A 18 1A 00 00 
"
"2016-11-30 09:44:45ID: C1  Data: BC 84 00 00 00 00 00 00 
"
"2016-11-30 09:44:45ID: C2  Data: BC 84 00 00 00 00 00 00 
"
"2016-11-30 09:44:45ID: C1  Data: BC 04 05 00 00 00 00 2B 
"
"2016-11-30 09:44:45ID: C2  Data: BC 04 05 00 00 00 00 2B 
"
"2016-11-30 09:44:45ID: C1  Data: BC 44 2B 2B 18 1B 00 00 
"
